fiscalyear,school,from_full,to_full,total_trips,total_emissions,from_lat,from_lng,to_lat,to_lng
FY2023-24,101,"Beijing, Cn","Seoul, Kr",2,218.4500968,40.190632,116.412144,37.5666791,126.9782914
FY2023-24,101,"Birmingham, Alabama, United States","Atlanta, Georgia, United States",1,31.97372783,33.5206824,-86.8024326,33.7489924,-84.3902644
FY2023-24,101,"Boise, Idaho, United States","Minneapolis/St Paul, Minnesota, United States",1,201.1364751,43.6166163,-116.200886,44.878019050000006,-93.22092805
FY2023-24,101,"Bologna, Italy","London, Gb",1,141.0173393,44.4938203,11.3426327,51.5074456,-0.1277653
FY2023-24,101,"Boston, Massachusetts, United States","Baltimore, Maryland, United States",21,1507.305668,42.3554334,-71.060511,39.2908816,-76.610759
FY2023-24,101,"Boston, Massachusetts, United States","Chicago, Illinois, United States",2,335.47693431000005,42.3554334,-71.060511,41.8755616,-87.6244212
FY2023-24,101,"Boston, Massachusetts, United States","Columbus, Ohio, United States",1,124.4385373,42.3554334,-71.060511,39.9622601,-83.0007065
FY2023-24,101,"Boston, Massachusetts, United States","Phoenix, Arizona, United States",3,1216.902209,42.3554334,-71.060511,33.4484367,-112.074141
FY2023-24,101,"Boston, Massachusetts, United States","Raleigh/Durham, North Carolina, United States",1,119.1723296,42.3554334,-71.060511,35.880361449999995,-78.78723822
FY2023-24,101,"Boston, Massachusetts, United States","Washington, District Of Columbia, United States",4,310.511209,42.3554334,-71.060511,38.8950368,-77.0365427
FY2023-24,101,"Burbank, California, United States","Salt Lake City, Utah, United States",2,223.5212597,34.1812089,-118.307201,40.7596198,-111.886797
FY2023-24,101,"Burlington, Vermont, United States","Washington, District Of Columbia, United States",1,85.03950195,44.4761601,-73.212906,38.8950368,-77.0365427
FY2023-24,101,"Champaign/Urbana, Illinois, United States","Chicago, Illinois, United States",3,97.36360728,40.1157948,-88.241194,41.8755616,-87.6244212
FY2023-24,101,"Charleston, South Carolina, United States","Baltimore, Maryland, United States",2,184.1222244,32.7884363,-79.9399309,39.2908816,-76.610759
FY2023-24,101,"Charlotte, North Carolina, United States","Baltimore, Maryland, United States",7,491.5127177,35.2272086,-80.8430827,39.2908816,-76.610759
FY2023-24,101,"Charlotte, North Carolina, United States","Columbus, Ohio, United States",1,67.68052105,35.2272086,-80.8430827,39.9622601,-83.0007065
FY2023-24,101,"Charlotte, North Carolina, United States","New York, New York, United States",1,105.909288,35.2272086,-80.8430827,40.7127281,-74.0060152
FY2023-24,101,"Charlotte, North Carolina, United States","Raleigh/Durham, North Carolina, United States",2,62.0242239,35.2272086,-80.8430827,35.880361449999995,-78.78723822
FY2023-24,101,"Charlotte, North Carolina, United States","Salisbury/Ocean City, Maryland, United States",1,71.97150509,35.2272086,-80.8430827,38.33941605,-75.51010496
